country,vs,team_score,vs_score,date,#,Players,Min,Pts,FG,2Pts,3Pts,FT,OREB,DREB,REB,AST,PF,TO,STL,BLK,+/-,EFF
Nigeria,Germany,92,99,2807,33,Jordan Nwora,30:04,33,13/20,6/8,7/12,0/0,0,7,7,2,3,1,1,0,-1,35
Nigeria,Germany,92,99,2807,34,Ike Nwamu,12:56,0,0/1,0/0,0/1,0/0,0,0,0,1,0,2,1,0,-15,-1
Nigeria,Germany,92,99,2807,55,Precious Achiuwa,16:25,9,4/7,4/7,0/0,1/3,0,2,2,0,4,3,1,2,1,6
Germany,Nigeria,99,92,2807,0,Isaac Bonga,22:51,5,2/5,2/4,0/1,1/1,4,2,6,3,1,2,0,0,-4,9
Germany,Nigeria,99,92,2807,1,Joshiko Saibou,11:02,3,1/6,0/5,1/1,0/0,0,0,0,1,1,1,0,0,-5,-2
Germany,Nigeria,99,92,2807,4,Maodo Lo,28:58,13,5/11,3/4,2/7,1/2,0,2,2,9,1,9,0,0,12,8
Germany,Nigeria,99,92,2807,5,Niels Giffey,22:25,5,2/4,1/2,1/2,0/0,0,0,0,1,3,2,0,0,11,2
Germany,Nigeria,99,92,2807,6,Jan Niklas Wimberg,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Germany,Nigeria,99,92,2807,7,Johannes Voigtmann,27:45,19,7/11,5/6,2/5,3/3,0,7,7,1,0,3,1,0,9,21
Germany,Nigeria,99,92,2807,12,Robin Benzing,06:38,2,0/2,0/1,0/1,2/2,0,1,1,0,2,1,0,0,-2,0
Germany,Nigeria,99,92,2807,13,Moritz Wagner,12:15,17,6/8,4/6,2/2,3/4,0,3,3,1,4,1,3,0,0,20
Germany,Nigeria,99,92,2807,19,Lukas Wank,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Germany,Nigeria,99,92,2807,22,Danilo Barthel,18:21,14,4/4,4/4,0/0,6/7,0,1,1,2,0,0,0,0,7,16
Germany,Nigeria,99,92,2807,32,Johannes Thiemann,20:29,9,4/6,3/4,1/2,0/0,1,9,10,0,2,0,1,0,0,18
Germany,Nigeria,99,92,2807,42,Andreas Obst,29:16,12,3/6,0/1,3/5,3/4,0,0,0,1,2,0,1,0,7,10
USA,Iran,120,66,2807,4,Keldon Johnson,06:55,4,1/1,1/1,0/0,2/2,0,1,1,1,0,0,0,0,17,6
USA,Iran,120,66,2807,5,Zach Lavine,22:36,13,3/5,1/1,2/4,5/5,1,3,4,8,1,0,1,0,23,24
USA,Iran,120,66,2807,6,Damian  Lillard,23:07,21,7/15,0/2,7/13,0/0,1,1,2,5,1,1,0,0,27,19
USA,Iran,120,66,2807,7,Kevin Durant,19:38,10,4/8,2/4,2/4,0/0,0,5,5,5,0,0,2,3,27,21
USA,Iran,120,66,2807,8,Khris Middleton,15:39,10,4/6,2/2,2/4,0/0,1,1,2,2,3,0,0,0,7,12
USA,Iran,120,66,2807,9,Jerami Grant,12:44,4,1/2,0/1,1/1,1/2,0,3,3,2,2,0,0,0,30,7
USA,Iran,120,66,2807,10,Jayson  Tatum,17:16,14,5/11,3/4,2/7,2/2,0,4,4,2,1,1,0,1,24,14
USA,Iran,120,66,2807,11,Javale McGee,11:53,9,4/6,4/5,0/1,1/1,0,2,2,0,2,0,2,1,8,12
USA,Iran,120,66,2807,12,Jrue Holiday,23:11,8,3/6,1/3,2/3,0/0,0,4,4,3,0,1,1,2,32,14
USA,Iran,120,66,2807,13,Bam Adebayo,13:10,6,3/6,3/6,0/0,0/0,0,0,0,1,0,0,1,3,18,8
USA,Iran,120,66,2807,14,Draymond Green,14:57,5,1/1,0/0,1/1,2/2,1,3,4,4,4,2,0,0,28,11
USA,Iran,120,66,2807,15,Devin Booker,18:54,16,6/9,6/8,0/1,4/4,1,3,4,1,2,1,3,0,29,20
Iran,USA,66,120,2807,3,Mohammadsina Vahedi,09:12,0,0/5,0/3,0/2,0/0,0,4,4,0,2,0,0,0,-4,-1
Iran,USA,66,120,2807,5,Pujan Jalalpoor,10:46,0,0/2,0/0,0/2,0/0,0,4,4,3,1,0,0,0,-5,5
Iran,USA,66,120,2807,7,Mohammad Hassanzadeh,12:29,4,2/3,2/3,0/0,0/0,1,1,2,1,3,0,0,0,-16,6
Iran,USA,66,120,2807,8,Saeid Davarpanah,13:36,8,3/7,1/3,2/4,0/0,1,1,2,2,2,2,0,0,-19,6
Iran,USA,66,120,2807,13,Mohammad Jamshidijafarabadi,21:48,14,5/14,3/8,2/6,2/3,1,1,2,3,0,3,0,0,-15,6
Iran,USA,66,120,2807,14,Mohammadsamad Nik Khahbahrami,18:05,2,1/5,1/3,0/2,0/0,0,3,3,1,2,6,0,0,-38,-4
Iran,USA,66,120,2807,15,Hamed Haddadi,22:21,14,5/7,5/7,0/0,4/8,4,3,7,1,2,4,0,1,-35,13
Iran,USA,66,120,2807,17,Navid Rezaeifar,23:54,13,5/10,2/6,3/4,0/0,2,0,2,2,1,2,1,0,-35,11
Iran,USA,66,120,2807,20,Michael Rostampour,08:45,0,0/2,0/1,0/1,0/0,1,1,2,0,1,0,0,0,-9,0
Iran,USA,66,120,2807,23,Aaron Geramipoor,10:11,0,0/4,0/4,0/0,0/0,2,2,4,0,0,0,0,0,-11,0
Iran,USA,66,120,2807,41,Arsalan Kazemi,24:07,5,2/2,2/2,0/0,1/2,0,4,4,2,0,1,1,0,-33,10
Iran,USA,66,120,2807,88,Behnam Yakhchalidehkordi,24:46,6,2/6,0/1,2/5,0/0,0,1,1,2,1,2,1,0,-50,4
Italy,Australia,83,86,2807,0,Marco Spissu,05:11,0,0/0,0/0,0/0,0/0,0,1,1,0,0,0,0,0,-4,1
Italy,Australia,83,86,2807,1,Nico Mannion,24:14,21,9/15,8/10,1/5,2/2,0,3,3,7,3,1,0,0,4,24
Italy,Australia,83,86,2807,7,Stefano Tonut,22:18,8,2/4,0/1,2/3,2/2,0,1,1,1,1,0,0,0,-8,8
Italy,Australia,83,86,2807,8,Danilo Gallinari,18:46,5,2/5,2/4,0/1,1/2,0,2,2,0,0,0,0,0,5,3
Italy,Australia,83,86,2807,9,Nicolò Melli,24:29,0,0/3,0/2,0/1,0/0,0,4,4,2,1,1,0,2,-9,4
Italy,Australia,83,86,2807,13,Simone Fontecchio,28:29,22,10/17,9/13,1/4,1/1,1,3,4,0,2,1,0,1,-6,19
Italy,Australia,83,86,2807,16,Amedeo Tessitori,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Italy,Australia,83,86,2807,17,Giampaolo Ricci,14:08,7,3/3,2/2,1/1,0/0,0,2,2,2,4,1,1,0,11,11
Italy,Australia,83,86,2807,24,Riccardo Moraschini,11:31,2,0/2,0/2,0/0,2/2,0,2,2,2,0,0,1,0,3,5
Italy,Australia,83,86,2807,31,Michele Vitali,17:42,6,2/4,1/1,1/3,1/1,1,1,2,1,2,0,0,0,5,7
Italy,Australia,83,86,2807,33,Achille Polonara,22:37,12,5/12,3/6,2/6,0/0,3,4,7,1,2,3,1,0,-13,11
Italy,Australia,83,86,2807,54,Alessandro Pajola,10:35,0,0/1,0/0,0/1,0/0,0,0,0,0,3,0,0,0,-3,-1
Australia,Italy,86,83,2807,4,Chris Goulding,03:08,0,0/3,0/1,0/2,0/0,1,0,1,0,0,0,0,0,-7,-2
Australia,Italy,86,83,2807,5,Patty Mills,35:44,16,6/17,4/8,2/9,2/2,1,5,6,5,1,2,1,0,11,15
