country,vs,team_score,vs_score,#,Players,Pts,OREB,DREB,REB,AST,PF,TO,STL,BLK,+/-,EFF,FGS,FGA,2PtsS,2PtsA,3PtsS,3PtsA,FTS,FTA,day,month,Sec
Nigeria,Germany,92,99,10,Chimezie Metu,3,2,3,5,2,1,1,1,2,-4,9,1,4,0,1,1,3,0,0,28,07,766
Nigeria,Germany,92,99,11,Obi Emegano,2,1,0,1,6,3,1,0,0,10,4,1,5,1,3,0,2,0,0,28,07,1156
Nigeria,Germany,92,99,13,Miye Oni,15,1,1,2,1,2,3,0,0,-1,13,5,7,0,1,5,6,0,0,28,07,1260
Nigeria,Germany,92,99,15,Jahlil Okafor,9,1,1,2,1,3,4,0,0,-6,7,3,4,3,4,0,0,3,3,28,07,812
Nigeria,Germany,92,99,20,Josh Okogie,0,0,0,0,3,1,1,2,0,-18,2,0,2,0,2,0,0,0,0,28,07,963
Nigeria,Germany,92,99,22,Nnamdi Vincent,8,0,0,0,3,4,0,1,0,1,4,3,11,1,1,2,10,0,0,28,07,1403
Nigeria,Germany,92,99,33,Jordan Nwora,33,0,7,7,2,3,1,1,0,-1,35,13,20,6,8,7,12,0,0,28,07,1804
Nigeria,Germany,92,99,34,Ike Nwamu,0,0,0,0,1,0,2,1,0,-15,-1,0,1,0,0,0,1,0,0,28,07,776
Nigeria,Germany,92,99,55,Precious Achiuwa,9,0,2,2,0,4,3,1,2,1,6,4,7,4,7,0,0,1,3,28,07,985
Germany,Nigeria,99,92,0,Isaac Bonga,5,4,2,6,3,1,2,0,0,-4,9,2,5,2,4,0,1,1,1,28,07,1371
Germany,Nigeria,99,92,1,Joshiko Saibou,3,0,0,0,1,1,1,0,0,-5,-2,1,6,0,5,1,1,0,0,28,07,662
Germany,Nigeria,99,92,4,Maodo Lo,13,0,2,2,9,1,9,0,0,12,8,5,11,3,4,2,7,1,2,28,07,1738
Germany,Nigeria,99,92,5,Niels Giffey,5,0,0,0,1,3,2,0,0,11,2,2,4,1,2,1,2,0,0,28,07,1345
Germany,Nigeria,99,92,6,Jan Niklas Wimberg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,07,0
Germany,Nigeria,99,92,7,Johannes Voigtmann,19,0,7,7,1,0,3,1,0,9,21,7,11,5,6,2,5,3,3,28,07,1665
Germany,Nigeria,99,92,12,Robin Benzing,2,0,1,1,0,2,1,0,0,-2,0,0,2,0,1,0,1,2,2,28,07,398
Germany,Nigeria,99,92,13,Moritz Wagner,17,0,3,3,1,4,1,3,0,0,20,6,8,4,6,2,2,3,4,28,07,735
Germany,Nigeria,99,92,19,Lukas Wank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,07,0
Germany,Nigeria,99,92,22,Danilo Barthel,14,0,1,1,2,0,0,0,0,7,16,4,4,4,4,0,0,6,7,28,07,1101
Germany,Nigeria,99,92,32,Johannes Thiemann,9,1,9,10,0,2,0,1,0,0,18,4,6,3,4,1,2,0,0,28,07,1229
Germany,Nigeria,99,92,42,Andreas Obst,12,0,0,0,1,2,0,1,0,7,10,3,6,0,1,3,5,3,4,28,07,1756
USA,Iran,120,66,4,Keldon Johnson,4,0,1,1,1,0,0,0,0,17,6,1,1,1,1,0,0,2,2,28,07,415
USA,Iran,120,66,5,Zach Lavine,13,1,3,4,8,1,0,1,0,23,24,3,5,1,1,2,4,5,5,28,07,1356
USA,Iran,120,66,6,Damian  Lillard,21,1,1,2,5,1,1,0,0,27,19,7,15,0,2,7,13,0,0,28,07,1387
USA,Iran,120,66,7,Kevin Durant,10,0,5,5,5,0,0,2,3,27,21,4,8,2,4,2,4,0,0,28,07,1178
USA,Iran,120,66,8,Khris Middleton,10,1,1,2,2,3,0,0,0,7,12,4,6,2,2,2,4,0,0,28,07,939
USA,Iran,120,66,9,Jerami Grant,4,0,3,3,2,2,0,0,0,30,7,1,2,0,1,1,1,1,2,28,07,764
USA,Iran,120,66,10,Jayson  Tatum,14,0,4,4,2,1,1,0,1,24,14,5,11,3,4,2,7,2,2,28,07,1036
USA,Iran,120,66,11,Javale McGee,9,0,2,2,0,2,0,2,1,8,12,4,6,4,5,0,1,1,1,28,07,713
